ms,speed,elevation,temperature,cadence,power,distance,positionLat,positionLong
83.0,0.0,0.0,784.4,31.0,38.0,0.0,44.55113,6.47928
83.0,0.0176,1.0,784.39,31.02,38.0,0.0,44.55113,6.47928
69.0,2.426,199.0,783.6,34.0,38.0,0.02,44.55118,6.4793
71.0,2.594,200.0,783.6,34.0,46.0,2.53,44.5512,6.47931
72.0,2.995,222.0,783.6,34.0,46.0,5.42,44.55123,6.47932
75.0,2.995,222.0,783.6,34.0,50.0,8.54,44.55125,6.47933
76.0,3.126,213.0,783.6,34.0,51.0,11.83,44.55128,6.47934
78.0,3.098,243.0,783.6,34.0,51.0,15.17,44.55131,6.47935
80.0,3.172,304.0,783.6,34.0,52.0,18.56,44.55134,6.47936
82.0,3.378,358.0,783.6,34.0,57.0,22.0,44.55137,6.47937
83.0,3.508,330.0,783.8,34.0,60.0,25.66,44.5514,6.47939
86.0,3.49,333.0,783.8,34.0,60.0,29.48,44.55143,6.4794
87.0,3.48,303.0,783.8,34.0,60.0,33.4,44.55147,6.47941
89.0,3.452,303.0,784.0,34.0,57.0,37.27,44.5515,6.47942
90.0,2.958,279.0,784.0,34.0,51.0,40.85,44.55154,6.47944
92.0,3.331,339.0,784.2,34.0,51.0,44.44,44.55157,6.47945
94.0,3.163,339.0,784.6,34.0,51.0,48.16,44.5516,6.47946
95.0,3.322,341.0,785.0,34.0,53.0,51.77,44.55163,6.47947
96.0,3.415,337.0,785.4,34.0,54.0,55.48,44.55166,6.47948
97.0,3.518,311.0,785.6,34.0,54.0,59.6,44.5517,6.47948
99.0,3.462,346.0,785.8,34.0,52.0,63.45,44.55173,6.47949
100.0,3.723,376.0,786.0,34.0,53.0,67.53,44.55177,6.4795
100.0,3.779,334.0,786.4,34.0,53.0,71.58,44.55181,6.4795
101.0,3.695,308.0,786.8,34.0,53.0,75.63,44.55184,6.47951
102.0,3.63,326.0,787.2,34.0,53.0,79.55,44.55188,6.47951
102.0,3.76,326.0,787.4,34.0,54.0,83.3,44.55191,6.4795
103.0,3.882,321.0,787.6,34.0,56.0,87.22,44.55194,6.47949
104.0,4.133,307.0,788.0,34.0,58.0,91.58,44.55199,6.47948
105.0,3.854,308.0,788.4,34.0,59.0,95.66,44.55202,6.47946
105.0,3.798,234.0,788.8,34.0,57.0,99.68,44.55206,6.47946
106.0,3.779,229.0,789.0,34.0,76.0,103.56,44.55209,6.47945
107.0,3.518,188.0,789.2,34.0,79.0,107.27,44.55212,6.47945
107.0,3.415,198.0,789.6,34.0,76.0,110.76,44.55215,6.47944
107.0,3.284,258.0,789.8,34.0,76.0,114.14,44.55219,6.47943
108.0,3.275,275.0,790.2,34.0,76.0,117.35,44.55221,6.47943
108.0,3.312,274.0,790.4,34.0,76.0,120.67,44.55224,6.47942
